Geneid,Length,Ensembl,symbol,entrezid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000137821.11,9991,ENSG00000137821,LRRC49,54839,-0.3237594070371177,3.1930475804602962,-3.079855262387507,0.0077431952226408,0.2484110313446685,-2.3501596577855377
ENSG00000047932.14,4628,ENSG00000047932,GOPC,57120,0.23765783135449414,6.244739281626967,3.2352159038687076,0.005646989986908488,0.2272824680579929,-2.3522310902489716
ENSG00000154305.18,10155,ENSG00000154305,MIA3,375056,0.2514635551718989,5.467992898246365,3.20232914532392,0.006037710957208358,0.23045691212323835,-2.3530072357337377
ENSG00000133265.11,2167,ENSG00000133265,HSPBP1,23640,-0.296920554644871,3.899531680768666,-3.0988214243317476,0.007450879150821373,0.24590268440526658,-2.354445575335628
ENSG00000253710.4,11764,ENSG00000253710,ALG11,440138,0.4252116553562484,2.481024199843645,3.070529440635076,0.007891052388212364,0.24869989118773372,-2.35456633736243
ENSG00000156381.9,7208,ENSG00000156381,ANKRD9,122416,0.4222631058363606,3.3922560801268533,3.071526894900633,0.007875106048196646,0.24869989118773372,-2.3560007125334104
ENSG00000130723.20,12390,ENSG00000130723,PRRC2B,84726,-0.19259671264265776,8.3057569193572,-3.207078578186498,0.005979668619073242,0.23045691212323835,-2.362385179807437
ENSG00000151746.15,12868,ENSG00000151746,BICD1,636,0.3447784424631939,5.139987939186886,3.182952228084381,0.006280361195190628,0.23299229836882568,-2.3680697420736223
ENSG00000054983.17,6736,ENSG00000054983,GALC,2581,0.4065781279392229,3.942525295023106,3.113106403658118,0.0072379333007432526,0.24474278102347816,-2.369398494812571
ENSG00000071626.17,9201,ENSG00000071626,DAZAP1,26528,-0.21153113837440252,5.542026424215908,-3.1897611218839153,0.006194013420610515,0.23045691212323835,-2.37119188146714
ENSG00000185880.13,9265,ENSG00000185880,TRIM69,140691,0.38918284261619185,5.378342095511525,3.204039501930968,0.006100005330290561,0.23045691212323835,-2.372300372922709
ENSG00000264230.9,2860,ENSG00000264230,ANXA8L1,643650,-0.42929443179392646,6.916768279026891,-3.2457816300355047,0.0059291621726057205,0.23045691212323835,-2.3723263646295445
ENSG00000165152.9,5549,ENSG00000165152,TMEM246,84302,0.8596896251657244,2.957761749971136,3.085210954221979,0.008341461412732488,0.2525450065643669,-2.3731259748812943
ENSG00000072657.9,12264,ENSG00000072657,TRHDE,29953,0.45719024935972685,2.6049117395708765,3.053900971996355,0.00816163169622783,0.25030917887068155,-2.3735392334993914
ENSG00000274180.1,4931,ENSG00000274180,NATD1,256302,-0.2669076616876378,5.466400715330242,-3.1979113837561544,0.006092201533970929,0.23045691212323835,-2.373581182400222
ENSG00000113108.19,3660,ENSG00000113108,APBB3,10307,-0.4816282337292359,1.7897267321286,-3.0573020070900165,0.008105555759214457,0.24998315219803818,-2.3803585663228204
ENSG00000231064.7,2466,ENSG00000231064,MIR92B,693235,-0.5449724447005933,1.6169829689491508,-3.0714192699833913,0.007876825120725895,0.24869989118773372,-2.386115021761278
ENSG00000108771.13,3824,ENSG00000108771,DHX58,79132,0.6313233598978294,3.005639516891156,3.0428509814655333,0.008346475332192141,0.2525450065643669,-2.3880161278782372
ENSG00000123395.14,3199,ENSG00000123395,ATG101,60673,-0.28291124337845597,3.9237939746380293,-3.0935274574160005,0.007531358097262637,0.24590268440526658,-2.3928121455277727
ENSG00000164983.7,9029,ENSG00000164983,TMEM65,157378,0.2204598116480989,5.32723499124272,3.1928453548084277,0.006155288704694601,0.23045691212323835,-2.3935130824141155
ENSG00000167840.13,2794,ENSG00000167840,ZNF232,7775,-0.46287052008205354,3.428164656004461,-3.077010515537979,0.007788005386662223,0.24869989118773372,-2.3949424351175566
ENSG00000022976.15,5590,ENSG00000022976,ZNF839,55778,0.2881913801736822,3.7669458035493633,3.088357245693231,0.007610784086522651,0.2468848455934074,-2.3963487100480654
ENSG00000163975.12,8394,ENSG00000163975,MELTF,4241,0.9380506029930817,3.405323619712656,3.1145125864675225,0.008508067325142045,0.25504051338664485,-2.3998221761011505
ENSG00000134193.15,3414,ENSG00000134193,REG4,83998,1.5858339212504968,1.669841842878209,3.1299966861655166,0.008462024196672555,0.2548363475134401,-2.4006331885858367
ENSG00000274070.2,8206,ENSG00000274070,GATSL2,729438,-0.3466145150908515,5.749069292877239,-3.189761747180438,0.006194005545141265,0.23045691212323835,-2.4024849090967018
ENSG00000166510.14,5133,ENSG00000166510,CCDC68,80323,0.3049024740205164,4.398915502486242,3.1114781678458785,0.007261898412859153,0.24474278102347816,-2.408360312220681
ENSG00000084674.15,14828,ENSG00000084674,APOB,338,1.8391084455314939,6.060718633184984,3.3060128468251837,0.0071016705756993615,0.24453572304595847,-2.412248779264945
ENSG00000156587.16,2062,ENSG00000156587,UBE2L6,9246,0.7944064345844506,4.764406660806264,3.15306145273784,0.00795571036112192,0.24869989118773372,-2.4132993325032945
ENSG00000170542.6,4143,ENSG00000170542,SERPINB9,5272,0.5229743141809187,3.0165534514185572,3.0220639386424937,0.00870544444291736,0.2596890292770763,-2.4225252065563456
ENSG00000130159.14,2355,ENSG00000130159,ECSIT,51295,-0.2826698672901138,4.629685677492887,-3.1115557178528093,0.0072607552202280014,0.24474278102347816,-2.4348597836465
ENSG00000151694.14,10728,ENSG00000151694,ADAM17,6868,0.2381773661644857,5.122212258560113,3.1535952150026665,0.006666520110687263,0.23833740473934711,-2.438088839208375
ENSG00000183258.12,4177,ENSG00000183258,DDX41,51428,-0.2608236633371419,4.821035710341071,-3.119364083948493,0.00714655525846245,0.2445688790188794,-2.4401048763007314
ENSG00000196449.4,1848,ENSG00000196449,YRDC,79693,0.3215161924435117,2.719571741934576,3.019852258480341,0.008744520962528061,0.2596890292770763,-2.441321649780182
ENSG00000083817.9,2545,ENSG00000083817,ZNF416,55659,0.3046017522777049,4.1001449989809915,3.1077901139031336,0.0073164712133640605,0.24474278102347816,-2.442988004885797
ENSG00000138035.15,5291,ENSG00000138035,PNPT1,87178,0.3387581402553055,4.978246550489315,3.1239959199877174,0.007079654064029819,0.24453572304595847,-2.4498559237504165
ENSG00000106025.9,3309,ENSG00000106025,TSPAN12,23554,0.37053117134159663,4.439283309059381,3.0980770377385207,0.007462143794990974,0.24590268440526658,-2.4628141153979737
ENSG00000179902.12,1235,ENSG00000179902,C1orf194,127003,-0.6147558743740622,2.846137723694737,-2.996792460830854,0.00916236857665761,0.26471592643936964,-2.4654359534812653
ENSG00000179222.18,6013,ENSG00000179222,MAGED1,9500,-0.22595886091773654,7.588474808782901,-3.1654996399455495,0.006507174442248695,0.2379207244131741,-2.469949805730099
ENSG00000112234.9,8118,ENSG00000112234,FBXL4,26235,0.18411549958435636,5.965346413682527,3.1719908450003858,0.006421882334176111,0.235655677924746,-2.4706450805969067
ENSG00000164236.12,10043,ENSG00000164236,ANKRD33B,651746,-0.43713162996742794,3.4872105902845236,-3.0119763764267264,0.008885081026358266,0.2608260368265125,-2.4740545450281783
ENSG00000180447.7,3145,ENSG00000180447,GAS1,2619,0.3775506816450189,3.975464146431292,3.120749417753533,0.007126480560679937,0.24453572304595847,-2.4742259258165684
ENSG00000123094.15,7619,ENSG00000123094,RASSF8,11228,0.25604294502050085,5.699987721135526,3.1564920521895723,0.006627392594372593,0.23833740473934711,-2.4803672796266367
ENSG00000095932.7,1481,ENSG00000095932,SMIM24,284422,0.951861010929453,3.7339599063662727,3.0812433638826144,0.009270252580674232,0.2654466325543311,-2.4834150601068714
ENSG00000204356.14,2647,ENSG00000204356,NELFE,7936,-0.2413870700511982,5.507292430756204,-3.126482581512829,0.007043993143161665,0.24432538818245567,-2.4885066410623047
ENSG00000099804.9,1894,ENSG00000099804,CDC34,997,-0.2627651178551247,4.423597716558344,-3.0667925031199776,0.007951078669086042,0.24869989118773372,-2.4920228223285115
ENSG00000077238.14,5884,ENSG00000077238,IL4R,3566,0.5663462470500615,2.3600640531008654,2.980884962771948,0.009461995530745615,0.26733792670643075,-2.494749759672731
ENSG00000119899.13,3441,ENSG00000119899,SLC17A5,26503,0.41724985405222936,3.7812482187680696,3.043218673355042,0.008340258767566049,0.2525450065643669,-2.4981129243368643
ENSG00000016490.16,3310,ENSG00000016490,CLCA1,1179,1.8367538315736152,3.195889460068841,3.121917444414106,0.009836528660445508,0.27020923423205206,-2.5013752645949974
ENSG00000125970.12,7513,ENSG00000125970,RALY,22913,-0.19903475991798025,7.059328974608905,-3.15414192962344,0.006659118180153329,0.23833740473934711,-2.509792764077614
ENSG00000167378.8,9869,ENSG00000167378,IRGQ,126298,-0.22487587497345451,5.860881223635892,-3.140112576205587,0.006851659797323822,0.23960475538978226,-2.5115186164929724
ENSG00000123159.16,4440,ENSG00000123159,GIPC1,10755,-0.22756630326844718,6.166664109142963,-3.1441950672499623,0.006795069464080966,0.23960475538978226,-2.5124095713145955
ENSG00000068079.8,1958,ENSG00000068079,IFI35,3430,0.44238757754845093,3.8668623025411,3.0156020772810757,0.008820099482686545,0.2602694818229086,-2.514116137576165
